product_id,Product Name,Category,Price
104,Graphic Drawing Tablet,Electronics,3999.0
105,LED Desk Lamp,Electronics,999.0
106,USB-C Hub,Electronics,1500.0
107,Smart Wi-Fi Bulb,Electronics,699.0
108,Mini Projector,Electronics,8999.0
109,DSLR Camera,Electronics,45000.0
110,Bluetooth Keyboard,Electronics,1299.0
111,Casual Denim Shirt,Fashion & Lifestyle,1299.0
112,Formal Blazer,Fashion & Lifestyle,3999.0
113,Printed Beach Hat,Fashion & Lifestyle,499.0
114,Winter Scarf,Fashion & Lifestyle,399.0
115,Leather Belt,Fashion & Lifestyle,799.0
116,Silk Necktie,Fashion & Lifestyle,499.0
117,Slip-on Loafers,Fashion & Lifestyle,1999.0
118,Casual Shorts,Fashion & Lifestyle,799.0
119,Raincoat,Fashion & Lifestyle,599.0
120,Woolen Beanie,Fashion & Lifestyle,299.0
121,Insulated Lunch Box,Home & Kitchen,699.0
122,Ceramic Coffee Mug,Home & Kitchen,199.0
123,Cast Iron Skillet,Home & Kitchen,1899.0
124,Cotton Bedsheet Set,Home & Kitchen,1499.0
125,Door Mat,Home & Kitchen,299.0
126,Window Curtains,Home & Kitchen,899.0
127,LED Emergency Light,Home & Kitchen,499.0
128,Wall Clock,Home & Kitchen,599.0
129,Floor Mop with Bucket,Home & Kitchen,799.0
130,Cloth Drying Stand,Home & Kitchen,1499.0
131,Lip Balm,Beauty & Personal Care,150.0
132,Sunscreen SPF 50,Beauty & Personal Care,499.0
133,Aloe Vera Gel,Beauty & Personal Care,299.0
134,Nail Polish Remover,Beauty & Personal Care,99.0
135,Sheet Mask,Beauty & Personal Care,150.0
136,Makeup Pouch,Beauty & Personal Care,299.0
137,Body Lotion 200ml,Beauty & Personal Care,349.0
138,Deodorant Spray,Beauty & Personal Care,249.0
139,Kajal Pencil,Beauty & Personal Care,199.0
140,Hand Sanitizer,Beauty & Personal Care,99.0
141,Protein Shaker Bottle,Sports & Fitness,399.0
142,Ankle Weights,Sports & Fitness,599.0
143,Boxing Gloves,Sports & Fitness,1599.0
144,Swimming Goggles,Sports & Fitness,499.0
145,Bicycle Helmet,Sports & Fitness,1299.0
146,Yoga Block,Sports & Fitness,349.0
147,Sports Cap,Sports & Fitness,299.0
148,Football,Sports & Fitness,799.0
149,Basketball Net,Sports & Fitness,499.0
150,Push-up Bar,Sports & Fitness,499.0
151,English Dictionary,Books,350.0
152,Sketch Book,Books,199.0
153,Novel Box Set,Books,1200.0
154,Financial Management Book,Books,499.0
155,Travel Guide Book,Books,399.0
156,History Textbook,Books,600.0
157,Coloring Book for Adults,Books,250.0
158,Health & Diet Book,Books,350.0
159,Motivational Book,Books,299.0
160,Photography Book,Books,899.0
161,Plastic Plant Pots,Garden & Outdoors,299.0
162,Gardening Gloves,Garden & Outdoors,149.0
163,Lawn Mower,Garden & Outdoors,5500.0
164,Garden Shovel,Garden & Outdoors,249.0
165,Watering Sprinkler,Garden & Outdoors,399.0
166,Outdoor Bench,Garden & Outdoors,2899.0
167,Organic Potting Soil,Garden & Outdoors,199.0
168,Pruning Shears,Garden & Outdoors,349.0
169,Trellis for Plants,Garden & Outdoors,499.0
170,Weed Puller,Garden & Outdoors,299.0
171,Baby Teether,Baby & Kids,199.0
172,Baby Sleeping Bag,Baby & Kids,1299.0
173,Baby Feeding Spoon Set,Baby & Kids,150.0
174,Musical Walker,Baby & Kids,1599.0
175,Kids Rain Boots,Baby & Kids,699.0
176,Baby Cap & Mitten Set,Baby & Kids,299.0
177,Kids Story Book,Baby & Kids,150.0
178,Baby Play Mat,Baby & Kids,1499.0
179,Baby Carrier,Baby & Kids,2299.0
180,Kids School Bag,Baby & Kids,899.0
181,Bird Cage,Pet Supplies,1299.0
182,Pet Flea Collar,Pet Supplies,499.0
183,Cat Scratching Post,Pet Supplies,899.0
184,Pet Water Dispenser,Pet Supplies,599.0
185,Dog Treat Pouch,Pet Supplies,299.0
186,aquarium Filter,Pet Supplies,499.0
187,Hamster Wheel,Pet Supplies,349.0
188,Pet Poop Bags,Pet Supplies,150.0
189,Dog Training Clicker,Pet Supplies,99.0
190,Pet Seat Cover,Pet Supplies,1199.0
191,Car Steering Knob,Automotive Accessories,299.0
192,Blind Spot Mirrors,Automotive Accessories,199.0
193,Car Wash Shampoo,Automotive Accessories,299.0
194,Car Trunk Organizer,Automotive Accessories,799.0
195,Tire Inflator,Automotive Accessories,2299.0
196,Car Emergency Tool Kit,Automotive Accessories,1500.0
197,Antifreeze Coolant,Automotive Accessories,399.0
198,Car Key Cover,Automotive Accessories,149.0
199,Car Reverse Camera,Automotive Accessories,1899.0
200,License Plate Frame,Automotive Accessories,249.0
